2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b1310>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909f8250>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f717f5310>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a897e90>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8210>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f9081a4d0>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2090>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f80f90>
2025-09-07 04:10:47|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b02f2d0>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f6d450>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909d3b50>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f80f90>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f97f50>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f6d450>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b02f2d0>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2fd0>
2025-09-07 04:10:48|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909d3b50>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2910>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c13fd0>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a97fb50>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909e6e10>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2910>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909d3b50>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2290>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f9081a4d0>
2025-09-07 04:10:49|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4f990>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8350>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f80b10>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f80950>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8290>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f9081a4d0>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8350>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b02e790>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77c10>
2025-09-07 04:10:50|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a897e90>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f90a08110>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8a8610>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f9081a4d0>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77c10>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b063010>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10750>
